Prediction x (m),Prediction y (m),EKF x (m),EKF y (m),Ground-Truth x (m),Ground-Truth y (m),Time (s),Error (m)
-0.24793,1.84857E-05,-0.247078,0.000191782,0.103342,-0.0269888,5.1986,0.351505
-0.247126,1.92563E-05,-0.246268,0.00019572,0.103342,-0.0269888,5.20542,0.350697
-0.247241,1.91461E-05,-0.246377,0.000195567,0.103342,-0.0269888,5.21265,0.350806
-0.247477,1.89204E-05,-0.246607,0.000194873,0.103342,-0.0269888,5.21925,0.351036
-0.247682,1.87251E-05,-0.246805,0.00019432,0.103342,-0.0269888,5.2254,0.351233
-0.247155,1.92291E-05,-0.246273,0.000197037,0.103342,-0.0269888,5.23488,0.350702
-0.247272,1.91172E-05,-0.246384,0.000196868,0.103342,-0.0269888,5.24157,0.350813
-0.247612,1.87923E-05,-0.246718,0.000195697,0.103342,-0.0269888,5.25134,0.351145
-0.247353,1.90402E-05,-0.246452,0.000197222,0.103342,-0.0269888,5.25774,0.350881
-0.247526,1.88747E-05,-0.246619,0.000196797,0.103479,-0.0270007,5.26805,0.351186
-0.247648,1.87585E-05,-0.246735,0.000196604,0.103479,-0.0270007,5.27512,0.3513
-0.247915,1.85026E-05,-0.246996,0.000195748,0.103479,-0.0270007,5.28295,0.351561
-0.247135,1.92504E-05,-0.246209,0.00019965,0.103479,-0.0270007,5.29018,0.350777
-0.247292,1.90999E-05,-0.246361,0.000199285,0.103479,-0.0270007,5.29997,0.350927
-0.247534,1.88688E-05,-0.246596,0.000198534,0.103479,-0.0270007,5.30694,0.351162
-0.247807,0.000018608,-0.246863,0.00019764,0.103479,-0.0270007,5.31507,0.351427
-0.246988,1.93923E-05,-0.246037,0.00020174,0.103479,-0.0270007,5.32196,0.350605
-0.247091,1.92935E-05,-0.246135,0.000201611,0.103678,-0.0269779,5.32913,0.350898
-0.24741,1.89891E-05,-0.246447,0.000200492,0.103678,-0.0269779,5.33802,0.351209
-0.246344,0.000020008,-0.245375,0.000205743,0.103678,-0.0269779,5.34715,0.350141
-0.245515,2.07976E-05,-0.24454,0.000209905,0.103678,-0.0269779,5.35426,0.349308
-0.245622,2.06958E-05,-0.244641,0.000209745,0.103678,-0.0269779,5.36195,0.349409
